state,year,support,fte,cpi_u_rs,cpi_u_rs_2019_adj,real_support_fte
Kansas,1986,342500000,90246,168.6,2.2330960854092528,8475.006196980134
Kentucky,1986,425100000,87225,168.6,2.2330960854092528,10883.223226224974
Louisiana,1986,539700000,123065,168.6,2.2330960854092528,9793.214620691291
Maine,1986,97700000,25850,168.6,2.2330960854092528,8439.98017580209
Maryland,1986,514500000,144691,168.6,2.2330960854092528,7940.5625501452105
Massachusetts,1986,565400000,123484,168.6,2.2330960854092528,10224.745932188716
Michigan,1986,1145100000,303390,168.6,2.2330960854092528,8428.485867702084
Minnesota,1986,673400000,156203,168.6,2.2330960854092528,9627.003987852928
Mississippi,1986,333200000,93703,168.6,2.2330960854092528,7940.702172378291
Missouri,1986,454200000,126222,168.6,2.2330960854092528,8035.62169822125
Montana,1986,106100000,27840,168.6,2.2330960854092528,8510.470354235693
Nebraska,1986,210400000,61399,168.6,2.2330960854092528,7652.297535303616
Nevada,1986,94400000,21282,168.6,2.2330960854092528,9905.284769412341
New Hampshire,1986,50200000,20674,168.6,2.2330960854092528,5422.338371265575
New Jersey,1986,799100000,159488,168.6,2.2330960854092528,11188.723175728168
New Mexico,1986,251500000,54242,168.6,2.2330960854092528,10354.036825346171
New York,1986,2090500000,414252,168.6,2.2330960854092528,11269.196929762664
North Carolina,1986,1042000000,195875,168.6,2.2330960854092528,11879.444140377493
North Dakota,1986,122500000,31136,168.6,2.2330960854092528,8785.787206533707
Ohio,1986,1066700000,307095,168.6,2.2330960854092528,7756.699374154739
Oklahoma,1986,510000000,100875,168.6,2.2330960854092528,11290.002513593248
Oregon,1986,309300000,91040,168.6,2.2330960854092528,7586.73790879923
Pennsylvania,1986,935600000,250991,168.6,2.2330960854092528,8324.141891577374
Rhode Island,1986,105100000,22591,168.6,2.2330960854092528,10389.022113961862
South Carolina,1986,461100000,99092,168.6,2.2330960854092528,10391.157762303783
South Dakota,1986,65700000,18102,168.6,2.2330960854092528,8104.873097524467
Tennessee,1986,536800000,118780,168.6,2.2330960854092528,10091.985002927151
Texas,1986,2131200000,524409,168.6,2.2330960854092528,9075.310258260632
Utah,1986,244400000,54233,168.6,2.2330960854092528,10063.405735880762
Vermont,1986,42700000,13942,168.6,2.2330960854092528,6839.277208935238
Virginia,1986,730500000,179049,168.6,2.2330960854092528,9110.783586568254
Washington,1986,588900000,148995,168.6,2.2330960854092528,8826.271248682902
West Virginia,1986,207700000,51947,168.6,2.2330960854092528,8928.601400263766
Wisconsin,1986,649100000,190992,168.6,2.2330960854092528,7589.337087622235
Wyoming,1986,106800000,17676,168.6,2.2330960854092528,13492.569694597658
U.S.,1986,29316800000,7042914,168.6,2.2330960854092528,9295.47504296176
Alabama,1985,550300000,138705,165.7,2.2721786360893184,9014.670728812602
Alaska,1985,169800000,15000,165.7,2.2721786360893184,25721.062160531084
Arizona,1985,353800000,117861,165.7,2.2721786360893184,6820.719334202161
Arkansas,1985,246900000,54746,165.7,2.2721786360893184,10247.340540869704
California,1985,3810500000,973445,165.7,2.2721786360893184,8894.325506647368
Colorado,1985,359700000,113747,165.7,2.2721786360893184,7185.267790810552
Connecticut,1985,293000000,60800,165.7,2.2721786360893184,10949.808229838327
Delaware,1985,84000000,21845,165.7,2.2721786360893184,8737.148337445764
Florida,1985,980600000,281543,165.7,2.2721786360893184,7913.883032251506
Georgia,1985,694200000,162785,165.7,2.2721786360893184,9689.752797697607
Hawaii,1985,213000000,29649,165.7,2.2721786360893184,16323.452712975979
Idaho,1985,118100000,26110,165.7,2.2721786360893184,10277.452965229739
Illinois,1985,1091500000,354119,165.7,2.2721786360893184,7003.529834014811
Indiana,1985,538100000,152522,165.7,2.2721786360893184,8016.281743483972
Iowa,1985,371000000,94995,165.7,2.2721786360893184,8873.92256423114
Kansas,1985,329100000,91022,165.7,2.2721786360893184,8215.310464909524
Kentucky,1985,403800000,88359,165.7,2.2721786360893184,10383.840166286023
Louisiana,1985,567300000,123664,165.7,2.2721786360893184,10423.461478307918
Maine,1985,88400000,26250,165.7,2.2721786360893184,7651.832054487457
Maryland,1985,476500000,144874,165.7,2.2721786360893184,7473.343181637562
Massachusetts,1985,503100000,122612,165.7,2.2721786360893184,9323.174500183799
Michigan,1985,1008200000,314096,165.7,2.2721786360893184,7293.3450311536935
Minnesota,1985,620300000,152723,165.7,2.2721786360893184,9228.684664171109
Mississippi,1985,316100000,91153,165.7,2.2721786360893184,7879.451766456765
Missouri,1985,376000000,128545,165.7,2.2721786360893184,6646.226357848097
Montana,1985,107300000,28333,165.7,2.2721786360893184,8604.975387441636
Nebraska,1985,213200000,60972,165.7,2.2721786360893184,7945.097507286012
Nevada,1985,78600000,22403,165.7,2.2721786360893184,7971.844877767282
New Hampshire,1985,42600000,21441,165.7,2.2721786360893184,4514.472734359637
New Jersey,1985,711600000,162606,165.7,2.2721786360893184,9943.558770532201
New Mexico,1985,247700000,53979,165.7,2.2721786360893184,10426.622356088927
New York,1985,1964400000,421316,165.7,2.2721786360893184,10594.109202436786
North Carolina,1985,931400000,189698,165.7,2.2721786360893184,11156.19132333283
North Dakota,1985,114900000,31109,165.7,2.2721786360893184,8392.212070033194
